GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Implementation,default,MaVilleApp,10,0,0,0,7,0,2,0,2,0
Implementation,Model,ServiceAPI,15,57,1,3,7,14,2,2,1,1
Implementation,Model,GestionRequete,446,0,46,0,122,0,43,0,20,0
Implementation,Model,Requete,73,0,0,0,30,0,16,0,16,0
Implementation,Model,GestionCandidatures,239,0,20,0,72,0,22,0,12,0
Implementation,Model,Preference,327,0,24,0,78,0,19,0,7,0
Implementation,Model,Valider.TypeTravail,0,84,0,0,0,15,0,3,0,3
Implementation,Model,GestionTravaux,14,76,3,5,5,22,4,4,1,3
Implementation,Model,Preference.PreferenceEntry,21,0,0,0,8,0,4,0,4,0
Implementation,Model,Intervenant,301,0,30,0,91,0,37,0,22,0
Implementation,Model,Resident,318,119,31,9,98,37,35,17,16,16
Implementation,Model,Utilisateur,141,46,30,0,40,20,18,10,3,10
Implementation,Model,Valider,136,128,18,4,23,26,21,8,12,6
Implementation,Model,Projet,40,73,0,0,20,26,10,13,10,13
Implementation,Model,Connexion,65,0,9,0,25,0,9,0,3,0
Implementation,Model,GestionIntervenants,305,0,28,0,93,0,24,0,10,0
Implementation,Model,Candidature,70,0,0,0,28,0,15,0,15,0
Implementation,Model,GestionProjets,23,321,5,19,7,69,6,10,1,3
Implementation,Model,GestionResidents,33,116,4,6,12,33,5,8,1,7
Implementation,Controller,RequeteController,13,0,0,0,7,0,4,0,4,0
Implementation,Controller,TravauxController,26,73,3,15,11,18,5,8,2,2
Implementation,Controller,IntervenantController,384,240,70,28,113,79,48,14,9,4
Implementation,Controller,EntraveController,65,124,9,17,23,36,12,7,3,3
Implementation,Controller,ResidentController,284,0,26,0,75,0,19,0,6,0
Implementation,Controller,ConnexionController,10,0,0,0,5,0,3,0,3,0
Implementation,View,IntervenantView,85,0,8,0,34,0,9,0,3,0
Implementation,View,ConnexionView,45,0,0,0,14,0,2,0,2,0
Implementation,View,PreferenceView,60,0,5,0,22,0,6,0,2,0
Implementation,View,RequeteView,324,0,29,0,107,0,24,0,6,0
Implementation,View,ResidentView,209,0,16,0,71,0,15,0,3,0
Implementation,View,TravauxView,501,0,55,0,139,0,45,0,15,0
Implementation,View,EntravesView,161,0,13,0,57,0,15,0,7,0
